iter	RMSE
0	0.1048412194
1	0.1010191576
2	0.09745389997
3	0.0940821556
4	0.09092077713
5	0.08794275786
6	0.08517504963
7	0.08271616754
8	0.08034775408
9	0.07807773989
10	0.07597018362
11	0.07400577026
12	0.0721709146
13	0.07047066203
14	0.0683147862
15	0.06629065632
16	0.06439588263
17	0.06264137278
18	0.0609805583
19	0.05944430831
20	0.0580044595
21	0.05663428506
22	0.05539676912
23	0.0542215425
24	0.05312210493
25	0.05209202505
26	0.05115490764
27	0.05028789185
28	0.04946164227
29	0.04869162055
30	0.04796272638
31	0.0472808693
32	0.04663323567
33	0.04607036364
34	0.04537919692
35	0.04476417316
36	0.04414429191
37	0.04356536056
38	0.04302663546
39	0.04255145357
40	0.04205173855
41	0.04156448975
42	0.04114902407
43	0.04078359308
44	0.04046475449
45	0.04011113354
46	0.03981373076
47	0.0394699055
48	0.0391599259
49	0.03884440254
50	0.0385578843
51	0.03831474863
52	0.03809123183
53	0.03788889589
54	0.03770001427
55	0.03749719816
56	0.03732328795
57	0.03715720848
58	0.03698836813
59	0.03682658416
60	0.03665695816
61	0.03651067946
62	0.03635789483
63	0.03624508169
64	0.03614385873
65	0.03595969996
66	0.03584652742
67	0.03575266733
68	0.03564998645
69	0.03555690205
70	0.03546347316
71	0.0353833201
72	0.03529242472
73	0.03519738327
74	0.03513674371
75	0.03506205093
76	0.03499840041
77	0.0349275879
78	0.03485393659
79	0.03475947928
80	0.0346126477
81	0.03455567616
82	0.03450430856
83	0.03441770335
84	0.03436078527
85	0.03430124638
86	0.03421195198
87	0.03415890233
88	0.03411016183
89	0.03404935383
90	0.03397233948
91	0.03392248193
92	0.03386669368
93	0.03383160999
94	0.03378885012
95	0.03372527292
96	0.03369369168
97	0.03363167275
98	0.03360236453
99	0.03354874262
100	0.03350970829
101	0.03345682582
102	0.03339635872
103	0.03333893586
104	0.03329305305
105	0.03323442375
106	0.03320860173
107	0.03315628765
108	0.03311322946
109	0.0330580513
110	0.03302754646
111	0.03302743263
112	0.03297116263
113	0.03291673193
114	0.03288569549
115	0.03285144498
116	0.03280397264
117	0.03277986057
118	0.03275437049
119	0.03271010251
120	0.03268906325
121	0.03264883991
122	0.03259462931
123	0.03258503315
124	0.03255155454
125	0.03248857467
126	0.03245169436
127	0.03240545777
128	0.03234656617
129	0.0323270733
130	0.0322971196
131	0.03225334049
132	0.03225233459
133	0.03222075214
134	0.0322028917
135	0.03217827191
136	0.03213448782
137	0.03211704906
138	0.03210052222
139	0.03206404353
140	0.03204504076
141	0.0320177104
142	0.03199776665
143	0.03195897052
144	0.03193089327
145	0.03189246137
146	0.03187739469
147	0.0318762621
148	0.03184907478
149	0.03182093346
150	0.03180142809
151	0.0317702907
152	0.03176969004
153	0.03175402683
154	0.03171910474
155	0.03167781543
156	0.03163662624
157	0.03162124301
158	0.03159321499
159	0.0315794076
160	0.03156464547
161	0.03154363516
162	0.03151959229
163	0.03149927968
164	0.03146420851
165	0.03145667717
166	0.03143014844
167	0.03141971279
168	0.03138568833
169	0.03136114469
170	0.0313365421
171	0.03132100755
172	0.03129277201
173	0.03129271734
174	0.03127489874
175	0.03125066271
176	0.03124983807
177	0.03121560286
178	0.0312045224
179	0.03115959301
180	0.0311515518
181	0.03110644719
182	0.03108973078
183	0.031089654
184	0.03108719963
185	0.03106580317
186	0.03105162053
187	0.03100461667
188	0.03100454304
189	0.03098438419
190	0.0309550379
191	0.03094507692
192	0.03092463633
193	0.03092459338
194	0.030896571
195	0.03085160935
196	0.03081728799
197	0.03077833508
198	0.03076523047
199	0.03073427951
200	0.0307240193
201	0.03071382001
202	0.03071373099
203	0.03070025517
204	0.03068137044
205	0.03068128723
206	0.03066595725
207	0.03066587951
208	0.0306658455
209	0.03064346465
210	0.03060587484
211	0.03059533787
212	0.03054664702
213	0.03052827762
214	0.03051584828
215	0.0305084013
216	0.03049839946
217	0.0304867374
218	0.03047843865
219	0.0304545146
220	0.03045446139
221	0.03044080715
222	0.03044065885
223	0.03043543203
224	0.03042436067
225	0.0304242998
226	0.03040783922
227	0.03039140806
228	0.03036463303
229	0.03032370284
230	0.03028662116
231	0.03028656841
232	0.03027352088
233	0.03024706896
234	0.03020457655
235	0.03017501723
236	0.03014873351
237	0.03014020608
238	0.03011079828
239	0.03008371168
240	0.03007502525
241	0.03007499177
242	0.03007495977
243	0.0300495648
244	0.03002318435
245	0.02998426392
246	0.02995607358
247	0.02995512874
248	0.02995464529
249	0.02993682062
250	0.02993370922
251	0.02991490248
252	0.02991447079
253	0.0298874922
254	0.02985640298
255	0.02982843335
256	0.02980762294
257	0.02978154836
258	0.02976100463
259	0.02976021158
260	0.02973886457
261	0.02971783176
262	0.02970025583
263	0.02969823432
264	0.02966834024
265	0.02966786147
266	0.02964919424
267	0.02963282502
268	0.02961108798
269	0.02958741851
270	0.0295867842
271	0.02956046719
272	0.02953152834
273	0.02953065311
274	0.0295002387
275	0.02949266709
276	0.02947840428
277	0.02945582358
278	0.02944902943
279	0.02944145136
280	0.02943167394
281	0.02940614856
282	0.02938252429
283	0.02936082805
284	0.02934990744
285	0.02933065641
286	0.02931786482
287	0.02931137106
288	0.02929662589
289	0.02927201882
290	0.02924381473
291	0.02923435415
292	0.02923013827
293	0.02922902324
294	0.02921133574
295	0.02920728425
296	0.0291904538
297	0.02918408774
298	0.02916945639
299	0.02915512871
300	0.02914673494
301	0.02912413884
302	0.02910680642
303	0.02909160262
304	0.02909095187
305	0.02907093221
306	0.02905671043
307	0.02905631252
308	0.02903823723
309	0.02901917683
310	0.02901272514
311	0.02899684711
312	0.02899648123
313	0.02898230871
314	0.02897681405
315	0.02896705268
316	0.02894922782
317	0.028933935
318	0.02892223018
319	0.0289212799
320	0.02891300854
321	0.0289025153
322	0.02889622827
323	0.02885365467
324	0.02883896167
325	0.02883878463
326	0.02881784666
327	0.02880182285
328	0.02880132529
329	0.02878693832
330	0.02876326056
331	0.02875801864
332	0.02874143501
333	0.02872348277
334	0.02870986905
335	0.02868632895
336	0.02867343223
337	0.02865999307
338	0.02862674476
339	0.02861240484
340	0.02861127802
341	0.02859495568
342	0.02858392473
343	0.0285645134
344	0.0285503266
345	0.02854605564
346	0.02852905916
347	0.02852831597
348	0.02852043917
349	0.02850822681
350	0.02849742356
351	0.02849692991
352	0.02848633201
353	0.0284859517
354	0.02848514382
355	0.02847573782
356	0.02847543595
357	0.0284639618
358	0.02845581328
359	0.02844302139
360	0.02844281751
361	0.02842729701
362	0.02841981048
363	0.02840718706
364	0.02839748648
365	0.02838616404
366	0.02838560003
367	0.02836650135
368	0.02835051306
369	0.02834544964
370	0.02834509415
371	0.02833623347
372	0.0283113502
373	0.02829419404
374	0.02827995083
375	0.0282325286
376	0.02822484025
377	0.02820403733
378	0.02818933003
379	0.02817233482
380	0.02815897732
381	0.0281391352
382	0.02813164323
383	0.02812411249
384	0.02810959204
385	0.02809051526
386	0.02806763437
387	0.02803186574
388	0.02801972766
389	0.02800605117
390	0.0279897369
391	0.02797816284
392	0.02796140211
393	0.02795711528
394	0.02793609732
395	0.02793100335
396	0.02791429005
397	0.02789892395
398	0.02788959998
399	0.02788651948
400	0.02787335772
401	0.02785982161
402	0.02785273798
403	0.02784250668
404	0.02783252746
405	0.02782711756
406	0.02781595258
407	0.02780203828
408	0.02777579449
409	0.02776360838
410	0.02775252273
411	0.02773434542
412	0.02771898419
413	0.02771005043
414	0.02770421126
415	0.0277038019
416	0.02769417241
417	0.02768432711
418	0.02767570457
419	0.02766379105
420	0.02765440305
421	0.02764448443
422	0.02763304239
423	0.02762909149
424	0.02762849679
425	0.02762199069
426	0.0276213853
427	0.02758607701
428	0.02757249783
429	0.02755482147
430	0.02753737285
431	0.02752056163
432	0.02751297231
433	0.02750902672
434	0.02749349896
435	0.02747935224
436	0.02747205417
437	0.0274584056
438	0.02745290822
439	0.02744301146
440	0.02743930977
441	0.02743897168
442	0.02743803522
443	0.02742733776
444	0.02741757726
445	0.02740828748
446	0.02739713309
447	0.02739371404
448	0.02738850749
449	0.02737850786
450	0.02737066202
451	0.02736324215
452	0.0273576846
453	0.02734848325
454	0.02733704351
455	0.02732160126
456	0.02730879103
457	0.02729593039
458	0.02728898679
459	0.02727910723
460	0.02727108066
461	0.02725501668
462	0.02724464833
463	0.02723443354
464	0.02723420486
465	0.02722529913
466	0.02722497488
467	0.02721131973
468	0.0272035369
469	0.02719579523
470	0.02719539811
471	0.02718886305
472	0.0271840065
473	0.02717892669
474	0.02716952012
475	0.02716304835
476	0.02715538625
477	0.02715183196
478	0.02714423392
479	0.02713708806
480	0.02712986211
481	0.02712746933
482	0.02712234024
483	0.02711361254
484	0.02710644845
485	0.02710599513
486	0.02709407428
487	0.02708466718
488	0.02707552162
489	0.02707411103
490	0.02707388171
491	0.02706364213
492	0.02705515679
493	0.02704765749
494	0.02703960302
495	0.02703262052
496	0.02702163469
497	0.02701224
498	0.02700203573
499	0.02698903117
500	0.02698230817
501	0.02697468893
502	0.02696646013
503	0.02695708585
504	0.02694390311
505	0.02692448064
506	0.02691334882
507	0.02688683298
508	0.02686298664
509	0.0268544289
510	0.02684313296
511	0.0268270287
512	0.02682517609
513	0.02681692718
514	0.02681503798
515	0.02680927902
516	0.02680195681
517	0.02679264719
518	0.02678876852
519	0.02678317363
520	0.02677542464
521	0.0267682164
522	0.02676664867
523	0.02675904135
524	0.02675191565
525	0.02674290859
526	0.02674245159
527	0.0267354116
528	0.02672790051
529	0.02672216313
530	0.02671377892
531	0.02670397092
532	0.0267008254
533	0.0266943201
534	0.02668782656
535	0.02667727766
536	0.02666722425
537	0.02665612364
538	0.02665120266
539	0.02664663139
540	0.02663812969
541	0.02663269864
542	0.02662435699
543	0.02661991278
544	0.02661613666
545	0.02661314841
546	0.02661245285
547	0.02660139041
548	0.02659657418
549	0.02658753189
550	0.02657793768
551	0.02657129801
552	0.02656810906
553	0.02656247796
554	0.02655421432
555	0.02653147098
556	0.02652572534
557	0.02652187212
558	0.02650578121
559	0.0264989582
560	0.02649169116
561	0.02647753535
562	0.02647372119
563	0.02646637938
564	0.02645353788
565	0.02644910932
566	0.02644136743
567	0.02643742235
568	0.02642843189
569	0.02642051193
570	0.02641104414
571	0.02640635337
572	0.02639211395
573	0.02638708257
574	0.0263750297
575	0.02636937759
576	0.02636263741
577	0.02635007988
578	0.02633858535
579	0.02633356695
580	0.02632906504
581	0.02632597324
582	0.0263179641
583	0.02631684341
584	0.02631376883
585	0.02631271999
586	0.02630739758
587	0.02630718696
588	0.02630032293
589	0.02629522574
590	0.02628709398
591	0.02627485312
592	0.02627148325
593	0.02625875657
594	0.02625494103
595	0.02625083833
596	0.02624201469
597	0.02623604216
598	0.02623158492
599	0.02622564199
600	0.02622226169
601	0.02622165955
602	0.02621294412
603	0.02621251961
604	0.02620659928
605	0.02619699222
606	0.02619553122
607	0.02619523588
608	0.02618299835
609	0.02617454781
610	0.02617016809
611	0.0261649093
612	0.02615794094
613	0.02614626087
614	0.02613570935
615	0.02612573335
616	0.02611590808
617	0.02611358466
618	0.02610514392
619	0.02610211997
620	0.02609802662
621	0.02609216931
622	0.02609154285
623	0.02607915927
624	0.02606898076
625	0.02606806496
